H,1334474,CHEMBL2016757,,N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL2016757,GS-441524,GS-441524,1,2,1,0.06
H,2205527,CHEMBL4065616,REMDESIVIR,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CHEMBL4065616,"REMDESIVIR (GS-5734)","REMDESIVIR (GS-5734)",0.9631,2,2,0.12
H,99106,CHEMBL63440,ALOXISTATIN,CCOC(=O)[C@H]1O[C@@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCCC(C)C,CHEMBL63440,ALOXISTATIN,ALOXISTATIN,0.7896,2,3,0.18
H,692515,CHEMBL1230165,SILMITASERTIB,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,CHEMBL1230165,CX-4945,CX-4945,0.7608,1,4,0.25
H,657667,CHEMBL1183717,ALMITRINE,C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,CHEMBL1183717,ALMITRINE,ALMITRINE,0.7206,1,5,0.31
H,923,CHEMBL413,SIROLIMUS,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,CHEMBL413,RAPAMYCIN,RAPAMYCIN,0.6828,1,6,0.37
H,6579,CHEMBL76,CHLOROQUINE,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,CHEMBL76,CHLOROQUINE,CHLOROQUINE,0.6704,2,7,0.43
H,333801,CHEMBL219410,ZOTAROLIMUS,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@H](n3cnnn3)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,CHEMBL219410,ZOTAROLIMUS,ZOTAROLIMUS,0.6315,1,8,0.49
H,674617,CHEMBL1200666,CALCIPOTRIENE,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)/C=C/[C@@H](O)C2CC2)C[C@@H](O)C[C@@H]1O,CHEMBL1200666,CALCIPOTRIENE,CALCIPOTRIENE,0.6212,1,9,0.55
H,1567700,CHEMBL2396661,ALPELISIB,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,CHEMBL2396661,BYL719,BYL719,0.6194,1,10,0.62
