T,1096,CHEMBL18,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,CHEMBL18,ETHOXZOLAMIDE,ETHOXZOLAMIDE,2.099,1,1,0.07
T,2341213,CHEMBL4303342,C[C@]12C/C(=C\O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,CHEMBL4303342,OXYMETHOLONE,OXYMETHOLONE,1.738,1,2,0.13
T,3183,CHEMBL46,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,CHEMBL1201111,"ONDANSETRON HYDROCHL","ONDANSETRON HYDROCHL",1.665,1,3,0.2
T,419616,CHEMBL253363,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL253363,PREGNENOLONE,PREGNENOLONE,1.659,1,4,0.26
T,100696,CHEMBL982,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,CHEMBL1201152,"NALMEFENE HYDROCHLOR","NALMEFENE HYDROCHLOR",1.653,1,5,0.33
T,13756,CHEMBL546,C=CCOc1ccccc1OCC(O)CNC(C)C,CHEMBL1200745,"OXPRENOLOL HYDROCHLO","OXPRENOLOL HYDROCHLO",1.632,1,6,0.4
T,675060,CHEMBL1201109,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,CHEMBL1201109,DESONIDE,DESONIDE,1.58,1,7,0.46
T,1379786,CHEMBL2107516,CC(C)=C/C(C)=N/N=c1/[nH]ncc2ccccc12,CHEMBL2107516,BUDRALAZINE,BUDRALAZINE,1.549,1,8,0.53
T,12428,CHEMBL529,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,CHEMBL529,AZITHROMYCIN,AZITHROMYCIN,1.487,1,9,0.59
T,13928,CHEMBL547,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,CHEMBL547,ISOTRETINOIN,ISOTRETINOIN,1.484,1,10,0.66
T,105299,CHEMBL302753,COC(c1ccccc1)(c1ccccc1)C(Oc1nc(C)cc(C)n1)C(=O)O,CHEMBL302753,AMBRISENTAN,AMBRISENTAN,1.459,1,11,0.73
T,857646,CHEMBL1433762,COc1ccc(C[C@H](C)NC[C@@H](O)c2ccc(O)c(NC=O)c2)cc1,CHEMBL4303430,"FORMOTEROL FUMARATE","FORMOTEROL FUMARATE",1.445,1,12,0.79
