E,157682,CHEMBL95431,CARBOXYAMIDOTRIAZOLE,NC(=O)c1nnn(Cc2cc(Cl)c(C(=O)c3ccc(Cl)cc3)c(Cl)c2)c1N,CHEMBL95431,CARBOXYAMIDOTRIAZOLE,CARBOXYAMIDOTRIAZOLE,135.09,1,1,0.02
E,2341532,CHEMBL4303661,,CCCCCCCCCCCCCCCCCC[S+](CCC)c1ccccc1C(=O)OCC,CHEMBL4303661,AC1NDSS5,AC1NDSS5,130.95,1,2,0.04
E,94171,CHEMBL59898,,CCOC(=O)c1c(C)[nH]c2ccc3c(c12)CN1CCc2cc(OC)ccc2C1O3,CHEMBL59898,PD-102807,PD-102807,121.78,1,3,0.05
E,3986,CHEMBL8747,REV-5901,CCCCCC(O)c1cccc(OCc2ccc3ccccc3n2)c1,CHEMBL8747,"REV-5901 / L-655,238","REV-5901 / L-655,238",113.51,1,4,0.07
E,1525993,CHEMBL2336325,VISTUSERTIB,CNC(=O)c1cccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)c1,CHEMBL2336325,"VISTUSERTIB (AZD2014","VISTUSERTIB (AZD2014",112,1,5,0.09
E,1592334,CHEMBL3039516,"GEMCITABINE ELAIDATE",CCCCCCCC/C=C/CCCCCCCC(=O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)C(F)(F)[C@@H]1O,CHEMBL3039516,"GEMCITABINE (ELAIDAT","GEMCITABINE (ELAIDAT",111.27,1,6,0.11
E,686684,CHEMBL1214827,ONALESPIB,CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O,CHEMBL1214827,"ONALESPIB (AT13387)","ONALESPIB (AT13387)",109.92,1,7,0.12
E,2341313,CHEMBL4303442,,CCC(C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](OC3C[C@H](OC)C(O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,CHEMBL4303442,"ABAMECTIN (AVERMECTI","ABAMECTIN (AVERMECTI",108.85,1,8,0.14
E,376009,CHEMBL225542,,O=C(NNc1nc2cc(F)ccc2n2cccc12)c1cnccn1,CHEMBL225542,SC144,SC144,108.67,1,9,0.16
E,2341356,CHEMBL4303485,,C=C(NC(=O)C(=C)NC(=O)c1csc(C2=N[C@@H]3c4csc(n4)[C@H]4NC(=O)c5csc(n5)[C@H]([C@](C)(O)[C@@H](C)O)NC(=O)[C@H]5CSC(=N5)/C(=C/C)NC(=O)C([C@@H](C)O)NC(=O)c5csc(n5)[C@]3(CC2)NC(=O)[C@H](C)NC(=O)C(=C)NC(=O)[C@H](C)NC(=O)C([C@@H](C)CC)NC2C=Cc3c([C@H](C)O)cc(nc3C2O)C(=O)O[C@@H]4C)n1)C(N)=O,CHEMBL4303485,THIOSTREPTON,THIOSTREPTON,108.24,1,10,0.18
